Song,Year,Complex Narc
3,2009,3.75
7,1993,-5.132075472
17,1984,1.142857143
19,1985,-12.25
22,2013,-5.025
23,2014,20.82539683
23,2013,20.82539683
23,2013,20.82539683
23,2013,20.82539683
23,2014,20.82539683
99,1980,-3.255813953
679,2015,1.647058824
808,1999,6.580645161
911,2000,13.16883117
1979,1996,-13.30434783
1985,2004,0
1999,1983,2.727272727
#1,2001,NaN
#Beautiful,2013,NaN
#SELFIE,2014,6.367346939
#thatPOWER,2013,NaN
' 03 Bonnie & Clyde,2002,27.6146789
' 65 Love Affair,1982,-4.903846154
' Til My Baby Comes Home,1985,15
' Til You Do Me Right,1995,11.9
(Baby Tell Me) Can You Dance,1987,5.46835443
(Can't Live Without Your) Love And Affection,1990,2.916666667
(Everything I Do) I Do It For You,1991,0
(Forever) Live And Die,1986,1.341463415
(God Must Have Spent) A Little More Time On You,1999,1.022727273
(Hot S**t) Country Grammar,2000,15
(How To Be A) Millionaire,1986,4.25
(I Just) Died In Your Arms,1987,0.785714286
(I Know I Got) Skillz,1993,6.789473684
(I've Had) The Time Of My Life,1987,1
(I've Had) The Time Of My Life,1987,1.025641026
(I've Had) The Time Of My Life,2010,3.77027027
(If There Was) Any Other Way,1991,-3.238095238
(It's Just) The Way That You Love Me,1989,15.25
(It) Feels So Good,2011,0.710526316
(Just Like) Starting Over,1980,-16.32
(Keep Feeling) Fascination,1983,0
(Kissed You) Good Night,2012,5.108108108
(Lay Your Head On My) Pillow,1994,3.620689655
(Meet) The Flintstones,1994,0
(Oh) Pretty Woman,1982,2.142857143
(Pride) In The Name Of Love,1984,0
(She's) Sexy + 17,1983,2.256410256
(She's) Some Kind Of Wonderful,1994,5.073170732
(Sittin' On) The Dock Of The Bay,1988,3
(There's Gotta Be) More To Life,2003,1.5625
(What) In The Name Of Love,1984,-15.57446809
(When You Gonna) Give It Up To Me,2006,26.75675676
(You Drive Me) Crazy,1999,9.28
(You Gotta) Fight For Your Right (To Party),1987,0.25
(You Want To) Make A Memory,2007,-1.525
(You're My One And Only) True Love,1989,8.555555556
(You're So Square) Baby I Don't Care,1982,0.794117647
*** Flawless,2014,2.518518519
... Baby One More Time,1999,13.88888889
0 To 100/The Catch Up,2014,3.739130435
1 Thing,2005,12.46938776
1 2 Step,2005,0.717948718
1234,2007,1.3
1234,2009,3.240740741
1234 (Sumpin' New),1996,11.59090909
1/2/2003,1988,4.4
10/9/2008,1984,1.565217391
100 Years,2004,0.368421053
100% Pure Love,1994,0.511627907
15 Minutes,1999,15.1011236
18 And Life,1989,0
19 Somethin',2003,2.27027027
19 You + Me,2014,-8.275862069
1st Of Tha Month,1995,6.064516129
2 Become 1,1997,-3.608695652
2 Legit 2 Quit,1992,0
2 On,2014,3.428571429
2 Reasons,2012,0.428571429
2 Step,2007,10.55555556
20/20,1985,NaN
2012 (It Ain't The End),2010,-10.86956522
21 Guns,2009,0
21 Questions,2003,17.16556291
24/7,1989,NaN
