@relation allSongsAllFields

@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK real

@data
355,88,9,3,1
443,133,12,3,7
337,93,10,4,36
466,204,30,4,15
300,99,12,3,20
509,170,9,3,48
509,170,9,3,17
509,170,9,3,16
509,170,9,3,11
509,170,9,3,20
151,55,8,3,26
562,199,11,3,4
505,157,8,3,8
475,162,10,3,38
231,121,10,3,12
344,149,12,4,23
496,168,12,4,12
2,2,7,6,22
2,2,7,6,15
326,164,11,3,16
1,1,0,0,17
588,204,11,3,4
320,95,13,4,6
480,137,10,3,29
433,120,10,3,31
352,122,10,3,50
271,120,11,3,1
18,17,14,5,1
162,49,8,3,19
362,117,28,4,8
991,384,12,4,7
210,100,12,4,20
227,93,10,4,1
726,332,20,4,35
235,107,10,3,1
234,109,10,3,21
440,115,11,3,38
294,104,10,3,35
402,87,11,3,3
276,105,11,4,35
229,81,9,4,1
207,79,12,5,8
196,82,9,3,34
157,50,8,3,31
128,48,12,4,33
154,79,8,4,12
168,50,9,3,33
323,147,20,3,5
222,97,10,3,44
169,74,11,4,11
286,74,10,4,30
336,68,8,3,39
809,158,9,3,3
249,75,10,3,10
255,87,10,4,7
220,98,11,3,27
235,108,10,3,23
174,68,7,3,47
449,199,16,4,41
277,72,10,3,1
885,337,20,3,35
548,103,10,3,8
477,148,13,3,2
177,83,11,3,8
254,75,8,3,34
188,66,9,4,5
229,91,9,3,3
198,85,8,3,38
253,104,8,3,28
302,95,9,3,11
608,140,10,3,27
292,112,11,3,4
286,137,17,4,23
185,99,10,4,42
1343,313,12,3,14
324,95,8,3,4
404,202,14,3,5
559,168,13,3,24
443,210,11,3,43
547,128,9,3,24
1,1,0,0,48
526,166,10,3,31
247,107,12,3,22
634,198,10,3,1
1,1,0,0,42
1,1,0,0,10
100,61,12,3,48
172,84,11,4,5
343,115,10,3,37
582,304,13,4,32
441,149,10,3,37
406,114,13,3,3
416,144,11,4,1
662,258,13,3,21
529,102,11,3,39
649,252,12,4,24
506,196,12,3,10
175,91,8,3,33
272,130,10,3,20
784,378,14,4,9
144,88,11,4,45
482,179,12,4,10
355,130,12,3,13
344,128,12,3,9
579,102,10,3,13
199,112,18,3,32
189,57,11,4,4
240,85,10,4,49
357,130,10,3,1
189,121,14,5,2
777,286,13,3,30
206,99,9,3,43
871,232,10,3,7
168,59,10,3,18
181,80,10,3,49
216,50,9,3,44
170,86,10,3,7
138,31,8,3,46
343,143,12,3,22
192,58,11,4,35
160,74,14,4,32
333,141,11,3,38
18,18,14,5,42
125,75,11,4,34
229,65,7,3,11
567,75,24,3,38
567,75,24,3,38
362,111,9,3,34
341,65,10,3,17
224,72,15,4,50
183,83,10,3,37
382,75,11,4,44
237,112,8,3,42
287,123,10,3,43
196,71,9,3,14
401,132,13,4,43
167,59,10,3,11
219,95,11,3,47
229,94,21,4,40
304,147,10,3,10
555,270,13,4,6
260,81,10,4,1
298,89,9,3,22
206,88,10,4,38
392,106,13,4,44
746,312,10,3,15
746,312,10,3,27
529,92,10,3,33
312,87,13,4,14
253,95,12,4,26
239,105,10,4,38
384,127,10,3,26
272,106,10,3,29
126,46,8,3,10
371,114,10,3,7
335,120,11,3,37
270,72,9,3,5
172,75,8,3,31
185,82,15,4,1
207,122,13,4,1
337,166,11,3,33
315,128,9,4,4
400,118,8,3,7
333,108,11,3,19
290,110,13,4,35
360,132,9,3,46
530,113,11,3,27
710,275,13,3,35
733,237,10,3,35
242,88,10,4,26
550,248,12,3,42
589,171,12,4,33
286,86,10,3,47
245,90,17,4,1
397,110,11,3,6
300,116,12,4,39
312,103,12,4,17
277,95,10,3,4
317,135,9,4,18
173,82,10,4,22
790,323,13,3,32
314,141,12,3,43
365,148,10,4,7
327,79,9,4,20
246,77,12,3,45
490,89,11,4,1
436,182,13,4,9
226,94,9,3,3
125,69,10,3,21
265,95,12,3,17
336,144,13,4,8
309,97,10,3,9
412,147,10,3,37
268,110,12,4,1
290,94,10,3,6
300,101,10,3,48
398,109,9,3,44
225,90,10,3,23
312,101,10,4,48
216,85,10,4,32
266,91,9,3,6
200,86,9,4,41
701,107,10,3,47
694,148,10,3,33
222,105,10,3,1
304,73,9,3,4
187,70,10,5,36
262,92,8,3,1
345,143,11,4,5
214,84,8,3,29
556,97,10,3,28
359,169,12,3,6
258,91,10,3,50
166,80,11,3,17
628,209,11,3,47
230,85,9,3,10
712,156,12,4,1
832,349,11,3,50
464,134,10,3,6
110,37,8,4,37
383,226,12,4,46
242,127,12,3,22
433,94,16,3,42
325,99,10,3,25
738,245,15,4,38
