@relation allSongsAllFieldsRankClass

@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
355,88,9,3,1-10
443,133,12,3,1-10
337,93,10,4,31-40
466,204,30,4,11-20
300,99,12,3,11-20
509,170,9,3,41-50
509,170,9,3,11-20
509,170,9,3,11-20
509,170,9,3,11-20
509,170,9,3,11-20
151,55,8,3,21-30
562,199,11,3,1-10
505,157,8,3,1-10
475,162,10,3,31-40
231,121,10,3,11-20
344,149,12,4,21-30
496,168,12,4,11-20
2,2,7,6,21-30
2,2,7,6,11-20
326,164,11,3,11-20
1,1,0,0,11-20
588,204,11,3,1-10
320,95,13,4,1-10
480,137,10,3,21-30
433,120,10,3,31-40
352,122,10,3,41-50
271,120,11,3,1-10
18,17,14,5,1-10
162,49,8,3,11-20
362,117,28,4,1-10
991,384,12,4,1-10
210,100,12,4,11-20
227,93,10,4,1-10
726,332,20,4,31-40
235,107,10,3,1-10
234,109,10,3,21-30
440,115,11,3,31-40
294,104,10,3,31-40
402,87,11,3,1-10
276,105,11,4,31-40
229,81,9,4,1-10
207,79,12,5,1-10
196,82,9,3,31-40
157,50,8,3,31-40
128,48,12,4,31-40
154,79,8,4,11-20
168,50,9,3,31-40
323,147,20,3,1-10
222,97,10,3,41-50
169,74,11,4,11-20
286,74,10,4,21-30
336,68,8,3,31-40
809,158,9,3,1-10
249,75,10,3,1-10
255,87,10,4,1-10
220,98,11,3,21-30
235,108,10,3,21-30
174,68,7,3,41-50
449,199,16,4,41-50
277,72,10,3,1-10
885,337,20,3,31-40
548,103,10,3,1-10
477,148,13,3,1-10
177,83,11,3,1-10
254,75,8,3,31-40
188,66,9,4,1-10
229,91,9,3,1-10
198,85,8,3,31-40
253,104,8,3,21-30
302,95,9,3,11-20
608,140,10,3,21-30
292,112,11,3,1-10
286,137,17,4,21-30
185,99,10,4,41-50
1343,313,12,3,11-20
324,95,8,3,1-10
404,202,14,3,1-10
559,168,13,3,21-30
