prediction,actual,diff,predSCore,actScore
2012,2012,0,3,3
1982,1982,0,3.584962501,3.584962501
1986,1986,0,3.906890596,3.906890596
1998,1998,0,4,4
1985,1985,0,4,4
2013,2013,0,4,4
1998,1998,0,4,4
1983,1983,0,4,4
2008,2008,0,4,4
1980,1980,0,4,4
1995,1995,0,4,4
1985,1985,0,4,4
1998,1998,0,4,4
1989,1989,0,4,4
1990,1990,0,4,4
2014,2014,0,4,4
1981,1981,0,4,4
2006,2006,0,4,4
2005,2005,0,4,4
1983,1983,0,4,4
1980,1980,0,4,4
1994,1994,0,4,4
1989,1989,0,4,4
2005,2005,0,4,4
1983,1983,0,4,4
1980,1980,0,4,4
2007,2007,0,4,4
2002,2002,0,4,4
1981,1981,0,4,4
2015,2015,0,4,4
2000,2000,0,4,4
2005,2005,0,4,4
1992,1992,0,4,4
1984,1984,0,4,4
1986,1986,0,4,4
1994,1994,0,4,4
1984,1984,0,4,4
1998,1998,0,4,4
1987,1987,0,4.169925001,4.169925001
1994,1994,0,4.523561956,4.523561956
1989,1989,0,5.044394119,5.044394119
1989,1989,0,5.044394119,5.044394119
1999,1999,0,5.044394119,5.044394119
1985,1985,0,5.672425342,5.672425342
2000,2000,0,5.882643049,5.882643049
1999,1999,0,6,6
2004,2004,0,6,6
1992,1992,0,6,6
2004,2004,0,6.044394119,6.044394119
2007,2007,0,6.189824559,6.189824559
2012,2012,0,6.303780748,6.303780748
1993,1993,0,6.339850003,6.339850003
1980,1980,0,6.339850003,6.339850003
2008,2008,0,6.339850003,6.339850003
1985,1985,0,6.339850003,6.339850003
2008,2008,0,6.339850003,6.339850003
2012,2012,0,6.339850003,6.339850003
1985,1985,0,6.339850003,6.339850003
2015,2015,0,6.339850003,6.339850003
2008,2008,0,6.339850003,6.339850003
1980,1980,0,6.339850003,6.339850003
1997,1997,0,6.339850003,6.339850003
2008,2008,0,6.339850003,6.339850003
2004,2004,0,6.339850003,6.339850003
1982,1982,0,6.339850003,6.339850003
1988,1988,0,6.339850003,6.339850003
1999,1999,0,6.339850003,6.339850003
1980,1980,0,6.339850003,6.339850003
2008,2008,0,6.339850003,6.339850003
1986,1986,0,6.339850003,6.339850003
1980,1980,0,6.339850003,6.339850003
1982,1982,0,6.339850003,6.339850003
1982,1982,0,6.339850003,6.339850003
1995,1995,0,6.339850003,6.339850003
1984,1984,0,6.339850003,6.339850003
1980,1980,0,6.339850003,6.339850003
2008,2008,0,6.339850003,6.339850003
2005,2005,0,6.339850003,6.339850003
1983,1983,0,6.339850003,6.339850003
2014,2014,0,6.339850003,6.339850003
1985,1985,0,6.339850003,6.339850003
1994,1994,0,6.392317423,6.392317423
2002,2002,0,6.714245518,6.714245518
2005,2005,0,6.918863237,6.918863237
2006,2006,0,6.965784285,6.965784285
2001,2001,0,6.965784285,6.965784285
1998,1998,0,6.965784285,6.965784285
2004,2004,0,7.169925001,7.169925001
2004,2004,0,7.339850003,7.339850003
2006,2006,0,7.400879436,7.400879436
1986,1986,0,7.400879436,7.400879436
1982,1982,0,7.754887502,7.754887502
2011,2011,0,7.754887502,7.754887502
1998,1998,0,7.754887502,7.754887502
2002,2002,0,8,8
1990,1990,0,8,8
2014,2014,0,8,8
1985,1985,0,8,8
2012,2012,0,8,8
1992,1992,0,8,8
2008,2008,0,8,8
1995,1995,0,8,8
2014,2014,0,8,8
2003,2003,0,8,8
2010,2010,0,8,8
