prediction,actual,diff,predSCore,actScore
1997,2009,12,419787.70797439286,0.0
1997,1993,4,601225.1627923251,108.17153041036991
1997,1984,13,340345.96893928124,0.0
1997,1985,12,490549.2450020017,40.0
1997,2013,16,337997.1079675494,0.0
1998,2014,16,727231.5021428525,0.0
1998,2013,15,727231.5021428525,0.0
1998,2013,15,727231.5021428525,0.0
1998,2013,15,727231.5021428525,0.0
1998,2014,16,727231.5021428525,0.0
1997,1980,17,199101.40437022457,0.0
1998,2015,17,648596.6423454178,76.0
1998,1999,1,599286.3091613556,189053.1598184096
1998,2000,2,598734.7761870014,17242.071477655296
1997,1996,1,316614.4411651775,8491.460069227083
1998,2004,6,345342.4327623587,0.0
1998,1983,15,446953.9522842743,0.0
2002,2001,1,5.0633978394662265,0.0
2002,2013,11,5.0633978394662265,0.0
1998,2014,16,481158.0227465843,63.0
2004,2013,9,1777.097839474289,0.0
1998,2002,4,817353.362446637,1078.4110951950313
1998,1982,16,320485.81296408107,0.0
1998,1985,13,656321.0831972127,0.0
1997,1995,2,654704.6853239407,308.059701600844
1997,1987,10,679391.0889923001,0.0
1998,1990,8,374051.57898222667,0.0
1997,1991,6,42570.73271580343,506.1652719294122
1998,1986,12,198551.28800677712,0.0
1998,1999,1,446126.0572444823,100288.43845469326
1997,2000,3,1065651.135589847,25946.490050262997
1997,1986,11,342562.9097079618,36.0
1997,1987,10,429015.56740301626,0.0
1997,1993,4,825212.1081764494,105.31698185319719
1997,1987,10,334740.55318665056,0.0
1997,1987,10,309767.9780779036,11.180339887498949
1997,2010,13,580128.8426373159,0.0
1997,1991,6,421846.5654934147,0.0
1997,1989,8,825557.0722180152,0.0
1997,2011,14,295271.69405048125,1.0
1997,1980,17,261115.7836420307,0.0
1997,1983,14,197327.26846234375,45.0
1997,2012,15,315527.8611557952,0.0
1998,1994,4,298643.76429354056,0.0
1997,1994,3,256698.87896090862,0.0
1998,1982,16,164868.99651651346,0.0
1997,1984,13,353991.7548376636,22.62741699796952
1997,1983,14,383247.3873458399,0.0
1998,1994,4,259195.7969922925,61.27391113010239
1997,1988,9,273817.97129844123,0.0
1998,2003,5,356208.46769779234,31.622776601683793
1997,1984,13,795671.1851517754,0.0
1997,2006,9,1260977.131129561,54.0
1998,1999,1,397002.0662235506,36263.88557441666
1997,1987,10,288469.38571200863,33.72150229775018
1997,2007,10,354691.7078745861,0.0
1997,1989,8,361395.1607244835,11.0
1998,1982,16,203940.07210655813,0.0
1997,2014,17,373271.7686682241,3.0
1998,1999,1,529021.9885019613,27810.401609425906
1998,2014,16,1025240.0862797935,24.0
1998,2005,7,726029.9821878574,0.0
1998,2005,7,503793.0957598341,228.33752703527588
1997,2007,10,260689.4989477795,0.0
1997,2009,12,342433.895822501,0.0
1997,1996,1,235506.6576478269,14916.604477324296
1998,1988,10,395059.4470301973,0.0
1997,1984,13,291726.96778741456,0.0
1997,2004,7,490504.4972309811,0.0
1997,1994,3,561139.6799682627,0.0
1998,1999,1,1040498.0910120027,255778.4867662134
1997,1989,8,575722.2047904081,14.0
1997,2003,6,255954.0853048427,730.1464081780229
1998,2014,16,208873.83426985692,1.0
1997,1995,2,1560153.5776712135,627.4996381866575
1997,1997,0,480220.1752617821,480220.1752617821
