Word,1st Year,Nth Year, Avg Year,Frequency,Standard Dev,Usage
,1980,2015,2004,18169,11.163515798345557,15516
maven,1982,1982,1982,6,0.0,9
bumpy,1988,2014,1997,70,6.422060194583755,72
zeit,1984,1984,1984,15,0.0,9
siree,1980,2014,2003,18,14.843629385474879,18
treason,1997,2004,1998,54,1.9051586888313607,36
wellsecluded,2010,2010,2010,1,0.0,9
dracula,1980,1980,1980,2,0.0,18
champions,2007,2014,2011,25,2.172556098240043,54
strumming,1982,2005,1997,16,10.380269746013347,18
hollarin,2009,2009,2009,15,0.0,9
muhs,2008,2008,2008,4,0.0,9
allbloodied,1994,1994,1994,2,0.0,9
wiggling,2006,2006,2006,21,0.0,9
smashing,1993,2011,1994,17,4.235702594681104,45
stressing,1999,2014,2010,23,6.231058253340418,18
kabloom,1995,1995,1995,6,0.0,9
possibly,1982,2007,2001,222,7.021844936076722,162
answer,1980,2015,1996,1509,10.312737335863625,1296
jilly,1990,1990,1990,11,0.0,9
rushing,1982,2013,1997,274,10.709501886499405,207
serenade,1983,2014,2001,55,10.902877018141922,45
3,1981,2015,2002,1865,8.701329595482665,1593
2,1980,2015,2001,2783,9.149298652259795,2259
1,1981,2015,2001,2110,9.058838735826251,1710
0,1997,2014,2008,96,5.181095444015677,63
7,1983,2015,2001,298,8.120939873532508,306
6,1983,2015,2003,846,7.059189139004309,702
5,1980,2015,2001,1165,8.270014089903977,1026
ledoux,2011,2011,2011,1,0.0,9
whiie,1986,1986,1986,12,0.0,9
4,1981,2015,2001,1315,8.410657732787541,1062
payments,2012,2012,2012,3,0.0,9
9,1980,2015,2000,563,9.077425007137936,549
lifeoh,1985,1985,1985,2,0.0,9
8,1982,2014,2002,363,7.982246140249383,405
mugs,2000,2000,2000,29,0.0,27
relies,1988,1991,1989,26,1.5063966175050876,18
clouded,1993,2013,2005,54,9.458486293427875,18
disabilities,2011,2011,2011,1,0.0,9
1099s,1995,1995,1995,7,0.0,9
ests,2000,2000,2000,16,0.0,9
ignorance,1988,2013,2006,67,8.687785214903652,81
chigeumbuteo,2012,2013,2012,30,0.7302967433402214,18
bouncebouncebouncebouncebouncebouncebounce,2002,2003,2002,36,0.97182531580755,9
drawing,1980,2014,2003,82,12.714021451272396,45
esto,1991,2006,2001,38,6.857573608024466,27
relief,1980,2015,2000,146,10.475346138067646,135
estn,2006,2006,2006,19,0.0,9
zeke,2006,2006,2006,1,0.0,9
realised,1992,2015,2010,41,7.253258309033326,27
finale,2004,2013,2010,54,2.725055215206827,36
vibrations,1981,1995,1989,89,4.657964063137793,63
advised,2005,2005,2005,11,0.0,9
times,1980,2015,1997,6543,10.350771400837177,5256
timer,1999,2010,2003,39,5.272084198386042,27
swords,1989,2012,2002,40,10.5,63
timex,2003,2003,2003,8,0.0,9
f,1985,2015,2004,518,8.128077082904484,504
glazed,2006,2006,2006,16,0.0,9
reclining,1985,2014,1990,22,7.90281882966739,36
g,1980,2015,2001,1696,6.419310490217101,1395
d,1980,2015,2000,1299,7.3084468198905705,1053
e,1980,2015,1999,656,6.754740882539012,702
b,1986,2015,2001,1408,7.706946025855802,1170
c,1980,2015,2000,604,7.3735476738143655,513
a,1980,2015,1997,71848,10.409798611754688,59922
n,1980,2015,1998,1644,9.568805766427722,1296
mimosa,2012,2012,2012,5,0.0,9
o,1980,2015,1996,1182,7.6027646587838555,1017
sympathiy,1983,1983,1983,15,0.0,9
l,1980,2015,2001,451,8.11734886215254,369
astounded,2009,2010,2009,33,0.674199862463242,18
m,1980,2015,1998,542,7.457258283512183,477
j,1980,2015,2003,740,8.553962255602386,702
k,1990,2015,2005,252,8.066686343935071,207
eyyeahey,2013,2013,2013,14,0.0,9
h,1988,2014,2002,263,6.192722332377866,234
i,1980,2015,1997,77535,10.33483722729131,63784
bloggers,2009,2010,2009,14,0.8864052604279183,9
w,1997,2014,2005,185,4.391638246313838,171
