SONG,YEAR,VERBS,CONJUNCTION,ADJECTIVE,PRONOUN,NUMBER,NOUN,TO,PREPOSITION,ADVERB,INTERJECTION,OTHER,FOREIGN,INTERROGATIVE,SIMPLE NARC,COMPLEX NARC,,,
3,2009,51,27,15,32,57,89,1,35,32,0,13,0,3,8,3.75,,,
7,1993,64,39,25,53,23,72,0,48,34,0,81,0,4,-4,-5.132075472,,,
17,1984,60,25,49,49,24,49,4,15,30,3,27,0,2,4,1.142857143,,,
19,1985,84,9,34,32,35,136,13,54,20,0,38,0,11,-8,-12.25,,,
22,2013,55,8,25,40,14,55,4,42,8,18,29,0,2,-3,-5.025,,,
23,2014,59,4,21,63,5,165,6,97,23,0,64,0,2,32,20.82539683,,,
23,2013,59,4,21,63,5,165,6,97,23,0,64,0,2,32,20.82539683,,,
23,2013,59,4,21,63,5,165,6,97,23,0,64,0,2,32,20.82539683,,,
23,2013,59,4,21,63,5,165,6,97,23,0,64,0,2,32,20.82539683,,,
23,2014,59,4,21,63,5,165,6,97,23,0,64,0,2,32,20.82539683,,,
99,1980,43,2,6,43,8,8,3,1,14,7,13,0,3,-2,-3.255813953,,,
679,2015,98,12,33,102,10,150,5,61,15,2,66,0,8,4,1.647058824,,,
808,1999,85,11,20,62,30,145,22,56,25,1,42,0,6,12,6.580645161,,,
911,2000,82,15,23,77,8,120,13,58,32,3,39,0,5,26,13.16883117,,,
1979,1996,45,11,8,23,2,55,8,29,16,0,31,0,3,-9,-13.30434783,,,
1985,2004,58,12,17,31,12,119,3,40,20,0,26,0,6,0,0,,,
1999,1983,96,8,26,55,37,125,11,52,37,5,36,0,8,6,2.727272727,,,
#1,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NaN,,,
#Beautiful,2013,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NaN,,,
#SELFIE,2014,79,5,13,49,4,69,4,25,20,3,45,0,10,13,6.367346939,,,
#thatPOWER,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,,,
' 03 Bonnie & Clyde,2002,81,38,22,109,3,143,7,78,33,2,66,0,6,43,27.6146789,,,
' 65 Love Affair,1982,56,11,26,52,8,64,6,31,26,0,39,0,1,-3,-4.903846154,,,
' Til My Baby Comes Home,1985,91,7,12,114,0,99,6,39,45,0,57,0,10,38,15,,,
' Til You Do Me Right,1995,134,4,24,120,1,36,27,23,45,0,13,0,6,21,11.9,,,
(Baby Tell Me) Can You Dance,1987,91,5,8,79,2,45,17,36,16,1,44,0,8,12,5.46835443,,,
(Can't Live Without Your) Love And Affection,1990,50,8,6,48,1,53,5,42,15,4,38,0,1,10,2.916666667,,,
(Everything I Do) I Do It For You,1991,3,0,1,1,0,5,2,2,1,0,3,0,0,0,0,,,
(Forever) Live And Die,1986,43,7,2,41,0,14,4,11,24,2,6,1,7,5,1.341463415,,,
(God Must Have Spent) A Little More Time On You,1999,51,11,39,44,2,71,1,52,19,2,59,0,11,5,1.022727273,,,
(Hot S**t) Country Grammar,2000,125,32,57,99,5,363,38,104,52,1,100,0,15,33,15,,,
(How To Be A) Millionaire,1986,50,8,6,32,7,36,10,14,12,0,28,0,7,8,4.25,,,
(I Just) Died In Your Arms,1987,32,10,9,28,0,60,2,28,8,2,45,0,3,2,0.785714286,,,
(I Know I Got) Skillz,1993,129,16,40,95,3,216,6,72,38,0,92,0,19,15,6.789473684,,,
(I've Had) The Time Of My Life,1987,41,6,7,40,2,44,7,28,26,0,31,0,3,2,1,,,
(I've Had) The Time Of My Life,1987,41,6,10,39,2,45,7,28,24,0,30,0,2,2,1.025641026,,,
(I've Had) The Time Of My Life,2010,67,13,10,74,2,110,13,50,38,0,61,0,2,9,3.77027027,,,
(If There Was) Any Other Way,1991,81,5,14,42,1,42,16,29,21,1,41,0,1,-2,-3.238095238,,,
(It's Just) The Way That You Love Me,1989,62,5,9,104,1,78,2,56,30,0,54,0,1,26,15.25,,,
(It) Feels So Good,2011,41,18,25,38,2,60,2,25,18,5,38,0,4,3,0.710526316,,,
(Just Like) Starting Over,1980,52,12,17,25,0,34,5,22,36,0,22,0,4,-12,-16.32,,,
(Keep Feeling) Fascination,1983,64,8,19,1,0,52,6,25,9,0,22,0,1,0,0,,,
