@relation allSongsAllFieldsRankClassWithDate

@attribute IS_EXPLICIT {TRUE, FALSE}
@attribute WEEK date "yyyy-MM-dd"
@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
FALSE,"2009-10-24",355,88,9,3,1-10
FALSE,"1993-02-27",443,133,12,3,1-10
FALSE,"1984-08-18",337,93,10,4,31-40
FALSE,"1985-07-20",466,204,30,4,11-20
FALSE,"2013-05-11",300,99,12,3,11-20
TRUE,"2014-03-01",509,170,9,3,41-50
TRUE,"2013-10-19",509,170,9,3,11-20
TRUE,"2013-12-14",509,170,9,3,11-20
TRUE,"2013-10-12",509,170,9,3,11-20
TRUE,"2014-01-04",509,170,9,3,11-20
FALSE,"1980-03-15",151,55,8,3,21-30
TRUE,"2015-10-31",562,199,11,3,1-10
TRUE,"1999-06-12",505,157,8,3,1-10
FALSE,"2000-11-25",475,162,10,3,31-40
FALSE,"1996-03-30",231,121,10,3,11-20
FALSE,"2004-11-13",344,149,12,4,21-30
FALSE,"1983-07-23",496,168,12,4,11-20
FALSE,"2001-12-15",2,2,7,6,21-30
FALSE,"2013-06-22",2,2,7,6,11-20
TRUE,"2014-04-05",326,164,11,3,11-20
FALSE,"2013-05-11",1,1,0,0,11-20
TRUE,"2002-12-28",588,204,11,3,1-10
FALSE,"1982-05-22",320,95,13,4,1-10
FALSE,"1985-05-25",480,137,10,3,21-30
FALSE,"1995-10-07",433,120,10,3,31-40
FALSE,"1987-12-19",352,122,10,3,41-50
FALSE,"1990-09-29",271,120,11,3,1-10
FALSE,"1991-07-27",18,17,14,5,1-10
FALSE,"1986-12-06",162,49,8,3,11-20
FALSE,"1999-02-27",362,117,28,4,1-10
TRUE,"2000-09-16",991,384,12,4,1-10
FALSE,"1986-03-22",210,100,12,4,11-20
TRUE,"1987-05-02",227,93,10,4,1-10
TRUE,"1993-11-20",726,332,20,4,31-40
FALSE,"1987-11-28",235,107,10,3,1-10
FALSE,"1987-12-26",234,109,10,3,21-30
FALSE,"2010-12-18",440,115,11,3,31-40
FALSE,"1991-06-01",294,104,10,3,31-40
FALSE,"1989-12-02",402,87,11,3,1-10
FALSE,"2011-05-28",276,105,11,4,31-40
FALSE,"1980-12-27",229,81,9,4,1-10
FALSE,"1983-08-20",207,79,12,5,1-10
