@relation allSongsAllFieldsRankClassWithDatePOS

@attribute IS_EXPLICIT {TRUE, FALSE}
@attribute WEEK date "yyyy-MM-dd"
@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute VERBS_FRQ real
@attribute CONJUNCTIONS_FRQ real
@attribute ADJECTIVES_FRQ real
@attribute PRONOUNS_FRQ real
@attribute NUMBERS_FRQ real
@attribute NOUNS_FRQ real
@attribute TOS_FRQ real
@attribute PREPOSITIONS_FRQ real
@attribute ADVERBS_FRQ real
@attribute INTERJECTIONS_FRQ real
@attribute OTHERS_FRQ real
@attribute FOREIGNS_FRQ real
@attribute INTERROGATIVES_FRQ real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
FALSE,"2009-10-24",355,88,9,3,14.366198 real, 7.6056337 real, 4.2253523 real, 9.014085 real, 16.056337 real, 25.070423 real, 0.28169015 real, 9.859155 real, 9.014085 real, 0.0 real, 3.6619718 real, 0.0 real, 0.8450704 real, 1-10
FALSE,"1993-02-27",443,133,12,3,14.446953 real, 8.803612 real, 5.643341 real, 11.963882 real, 5.1918736 real, 16.252821 real, 0.0 real, 10.835215 real, 7.6749434 real, 0.0 real, 18.284424 real, 0.0 real, 0.90293455 real, 1-10
FALSE,"1984-08-18",337,93,10,4,17.804153 real, 7.4183974 real, 14.540059 real, 14.540059 real, 7.1216617 real, 14.540059 real, 1.1869437 real, 4.4510384 real, 8.902077 real, 0.8902077 real, 8.011869 real, 0.0 real, 0.5934718 real, 31-40
FALSE,"1985-07-20",466,204,30,4,18.025751 real, 1.9313304 real, 7.2961373 real, 6.866953 real, 7.51073 real, 29.18455 real, 2.7896996 real, 11.587983 real, 4.2918453 real, 0.0 real, 8.154507 real, 0.0 real, 2.360515 real, 11-20
FALSE,"2013-05-11",300,99,12,3,18.333334 real, 2.6666667 real, 8.333333 real, 13.333333 real, 4.6666665 real, 18.333334 real, 1.3333334 real, 14.0 real, 2.6666667 real, 6.0 real, 9.666667 real, 0.0 real, 0.6666667 real, 11-20
TRUE,"2014-03-01",509,170,9,3,11.591355 real, 0.78585464 real, 4.1257367 real, 12.377211 real, 0.9823183 real, 32.416504 real, 1.1787819 real, 19.056974 real, 4.518664 real, 0.0 real, 12.573674 real, 0.0 real, 0.39292732 real, 41-50
TRUE,"2013-10-19",509,170,9,3,11.591355 real, 0.78585464 real, 4.1257367 real, 12.377211 real, 0.9823183 real, 32.416504 real, 1.1787819 real, 19.056974 real, 4.518664 real, 0.0 real, 12.573674 real, 0.0 real, 0.39292732 real, 11-20
TRUE,"2013-12-14",509,170,9,3,11.591355 real, 0.78585464 real, 4.1257367 real, 12.377211 real, 0.9823183 real, 32.416504 real, 1.1787819 real, 19.056974 real, 4.518664 real, 0.0 real, 12.573674 real, 0.0 real, 0.39292732 real, 11-20
TRUE,"2013-10-12",509,170,9,3,11.591355 real, 0.78585464 real, 4.1257367 real, 12.377211 real, 0.9823183 real, 32.416504 real, 1.1787819 real, 19.056974 real, 4.518664 real, 0.0 real, 12.573674 real, 0.0 real, 0.39292732 real, 11-20
TRUE,"2014-01-04",509,170,9,3,11.591355 real, 0.78585464 real, 4.1257367 real, 12.377211 real, 0.9823183 real, 32.416504 real, 1.1787819 real, 19.056974 real, 4.518664 real, 0.0 real, 12.573674 real, 0.0 real, 0.39292732 real, 11-20
