,2004,11.17196954843926,17654
maven,1982,0.0,6
bumpy,1997,6.422060194583755,70
zeit,1984,0.0,15
siree,2003,14.843629385474879,18
treason,1998,1.9051586888313607,54
wellsecluded,2010,0.0,1
dracula,2000,0.6666666666666666,18
champions,2011,2.5663606325985686,29
strumming,1997,10.380269746013347,16
hollarin,2009,0.0,15
allbloodied,1994,0.0,2
wiggling,2006,0.0,21
smashing,1998,11.31861789756643,45
stressing,2010,6.231058253340418,23
kabloom,1995,0.0,6
possibly,2002,5.2508502712826015,224
answer,1996,9.840633339177364,1550
rushing,1996,10.237453173070787,257
jilly,1990,0.0,11
serenade,2005,7.083627444874397,45
3,2002,8.527590269390831,1763
2,2001,8.923497387269686,2562
1,2002,8.856176644246565,1952
0,2007,5.348985930570102,103
7,2001,7.907093264519226,339
6,2003,7.078206700924331,891
ledoux,2011,0.0,1
5,2000,8.243858277198404,1134
4,2001,8.50708435616399,1301
payments,2012,0.0,3
9,2000,9.081523774900006,675
lifeoh,1985,0.0,2
8,2003,7.068161296234618,438
mugs,2002,2.649314614108393,53
relies,1989,1.5063966175050876,26
clouded,2005,9.458486293427875,54
disabilities,2011,0.0,1
1099s,1995,0.0,7
ests,2000,0.0,16
ignorance,2008,6.214901447328026,48
chigeumbuteo,2012,0.7302967433402214,30
bouncebouncebouncebouncebouncebouncebounce,2002,0.97182531580755,36
esto,2005,0.0,7
drawing,2003,12.714021451272396,82
relief,2000,11.26155828628796,141
zeke,2006,0.0,1
finale,2010,2.725055215206827,54
realised,2010,7.253258309033326,41
vibrations,1987,4.558444006972762,68
times,1997,10.322820518727136,6095
timer,2002,5.376905347047789,45
swords,2002,10.5,40
f,2004,7.962950775663748,629
glazed,2006,0.0,16
g,2001,6.458240916816666,1690
reclining,2000,5.291502622129181,8
d,2000,7.456375310291588,1297
e,1999,6.429401939708357,688
b,2001,7.542397661947333,1381
c,1999,7.2019702907174,585
a,1997,10.343851406791808,71337
n,1998,9.42624513093563,1501
mimosa,2012,0.0,5
o,1996,7.889074723945768,1120
sympathiy,1983,0.0,15
astounded,2009,0.674199862463242,33
l,2000,8.705073341838796,424
m,1997,7.173955376138857,582
j,2003,8.638221058128554,774
k,2006,8.194938974354137,242
eyyeahey,2013,0.0,14
h,2000,6.723403323402141,289
i,1997,10.267682112484083,77459
bloggers,2009,0.8864052604279183,14
w,2001,7.229818135352388,259
analyze,1995,5.9550285970260335,93
v,2002,7.226912263862432,368
u,2001,7.278887946508568,1068
t,1999,7.771985323490041,639
s,2001,6.450550822319753,812
excape,1999,0.0,9
r,2001,6.526423438496059,690
q,2009,5.9237580209617855,66
slates,2012,0.0,1
p,2000,5.954663321059854,917
este,1998,3.6706517419289884,19
z,1998,7.210581197310486,133
y,1998,7.822600483485391,549
braxton,2000,1.6666666666666667,36
esta,2004,8.973608027189567,78
x,2000,8.132488778804047,495
consumption,1997,0.0,6
holster,1999,2.4847360108225303,23
numpsay,2013,0.0,1
riffraff,2004,0.0,4
dames,1994,3.6675578239690867,51
whiff,2001,7.536577472566709,20
michaels,1993,0.0,7
beatup,1985,0.0,4
estimated,1991,0.0,8
eeeiii,2013,0.0,3
affectionate,1998,2.6100766272276377,32
timin,1996,6.314665470157545,16
dozens,1981,0.0,14
honkytonks,2011,0.0,18
much,1997,10.079724398127729,13982
vibin,2009,1.9039432764659772,48
miscellaneous,1991,7.308516567294243,111
column,1994,10.583005244258363,22
fewer,1989,11.180339887498949,6
dilzzouble,1994,10.809803506625448,27
whied,1999,0.0,10
update,2001,0.9128709291752769,18
espn,2006,3.095157508108432,50
hmmmmm,1998,0.0,22
suspicions,1983,0.9710083124552245,35
smolders,2009,0.0,5
jalopy,1995,0.0,6
