"Can't Hold Us",503.0,0.48111332007952284,"the","and","na","it","i","my","to","we","a","that","na na","what it","to the","the people","i got","so we","we put","put our","our hands","hands up","na na na","so we put","we put our","put our hands","our hands up","to the people","here nah they","nah they can't","they can't tell","can't tell me",93,19,21,73,3,125,20,56,29,0,56,0,8,1.041095890410959,early2010s,top10
"Can't Hold Us Down",738.0,0.3062330623306233,"a","the","and","to","so","us","do","your","for","hold","hold us","us down","my girls","a man","can't hold","respect your","your worth","the world","so what","for my","hold us down","for my girls","respect your worth","can't hold us","this is for","around the world","stand our ground","never can never","can never will","is for my",167,23,46,105,2,132,16,71,56,0,102,0,18,-9.0,early2000s,top20
"Can't Leave 'Em Alone",767.0,0.2633637548891786,"i","that","me","the","can't","leave","alone","you","he","so","i can't","can't leave","leave 'em","'em alone","alone i","that he","what i","i love","know what","that i","i can't leave","can't leave 'em","leave 'em alone","'em alone i","alone i tried","i tried that","game but the","but the dope","the dope boy's","dope boy's turning",149,27,25,181,4,118,11,81,67,0,80,1,23,9.559888579387186,late2000s,top40
"Can't Let Go",232.0,0.3922413793103448,"i","you","my","can't","let","go","in","even","try","all","i can't","can't let","let go","i try","you're all","all i","i love","love i","you in","in my","i can't let","can't let go","you're all i","all i love","i love i","love i can't","you in my","in my dreams","my dreams you're","dreams you're all",64,4,3,60,0,27,3,25,16,4,25,0,1,14.200477326968974,early1990s,top10
"Can't Let You Go",652.0,0.36503067484662577,"i","you","the","and","but","can't","a","know","be","i'm","but i","i can't","i know","and i","wit chu","can't leave","leave you","you alone","alone and","know i'm","can't leave you","leave you alone","you alone and","alone and i","and i know","i know i'm","know i'm livin","i'm livin wrong","livin wrong but","wrong but i",135,38,33,134,5,129,10,64,38,1,61,0,4,16.629294755877034,early2000s,top10
"Can't Nobody Hold Me Down",589.0,0.5178268251273345,"you","the","i","a","me","my","to","be","im","it","rock my","can't nobody","im a","me 'cause","in the","bad boy","i got","you wanna","take us","be the","why you wanna","you wanna take","wanna take us","take us under","be wantin to","can't nobody take","nobody take my","take my pride","my pride can't","pride can't nobody",107,12,25,85,2,185,11,58,25,4,60,3,12,24.6833855799373,late1990s,top10
"Can't Remember To Forget You",252.0,0.38492063492063494,"i","you","to","me","the","","follow","forget","go","a","to forget","forget you","i can't","can't remember","remember to","follow follow","i","a part","part of","of me","to forget you","i can't remember","can't remember to","remember to forget","part of me","a part of","you a part","forget you i","repeat yesterday’s mistakes","yesterday’s mistakes what",61,3,11,59,0,34,13,21,17,0,26,0,7,28.827833572453372,mid2010s,top20
"Can't Shake Loose",216.0,0.3101851851851852,"i","loose","can't","shake","but","the","move","make","in","will","can't shake","shake loose","i can't","loose i","loose can't","in the","i will","i try","any move","move i'll","can't shake loose","i can't shake","loose i can't","shake loose i","shake loose can't","loose can't shake","shake loose any","loose any move","any move i'll","move i'll make",56,10,14,43,1,28,2,9,15,0,35,1,2,28.900000000000002,early1980s,top30
"Can't Stay Away From You",256.0,0.37109375,"i","you","me","and","your","can't","away","wanna","you're","know","i can't","i know","and though","don't wanna","can't stay","stay away","telling me","but i","away from","from you","i can't stay","can't stay away","but i can't","stay away from","away from you","i don't wanna","don't wanna be","i know you're","know you're telling","you're telling me",62,13,6,59,0,36,6,25,21,0,26,0,2,33.40425531914894,late1980s,top10
"Can't Stop",372.0,0.239247311827957,"you","diggin","on","i","can't","stop","me","i'm","we","and","diggin on","can't stop","i'm diggin","on you","you you","you diggin","on me","stop can't","i can't","stop how","i'm diggin on","diggin on you","on you you","you you diggin","you diggin on","diggin on me","can't stop can't","stop can't stop","i can't stop","can't stop how",79,9,17,93,0,61,1,51,27,0,26,0,8,39.12556053811659,early1990s,top10
"Can't Stop",304.0,0.22697368421052633,"can't","stop","i","to","it","and","up","the","a","in","can't stop","stop can't","i can't","got to","to keep","have the","stop no","no i","i just","just can't","can't stop can't","stop can't stop","i can't stop","got to keep","can't stop no","stop no i","no i just","i just can't","just can't stop","can't stop it",58,8,8,37,2,89,10,21,20,0,49,0,2,41.735199138858995,mid1980s,top50
"Can't Stop Falling Into Love",326.0,0.3220858895705521,"i","yeah","love","into","can't","you","it","fallin","been","for","into love","fallin into","can't stop","stop fallin","yeah yeah","what's my","my heart","heart been","been dreamin","dreamin up","fallin into love","can't stop fallin","stop fallin into","what's my heart","my heart been","heart been dreamin","been dreamin up","who's that falling","that falling into","falling into love",69,14,9,45,0,75,1,41,14,16,36,0,6,44.8993839835729,early1990s,top20
"Can't Stop Lovin' You",272.0,0.375,"you","i","and","can't","stop","lovin","say","ohh","no","we","can't stop","stop lovin","lovin you","i can't","you and","is true","true ohh","ohh i","no matter","matter what","can't stop lovin","stop lovin you","i can't stop","lovin you and","is true ohh","true ohh i","ohh i can't","say or do","you know my","know my heart",67,21,9,56,0,40,4,16,14,6,30,0,9,46.05436893203884,mid1990s,top30
"Can't Stop This Thing We Started",18.0,1.0,"our","agreement","does","not","allow","us","to","display","these","lyrics","you our","licensing agreement","agreement does","does not","not allow","allow us","us to","to display","display these","these lyrics","lovin you our","our licensing agreement","licensing agreement does","agreement does not","does not allow","not allow us","allow us to","us to display","to display these","display these lyrics",4,0,0,2,0,5,1,2,1,0,3,0,0,45.68895348837209,early1990s,top10
"Can't Stop, Won't Stop",822.0,0.3309002433090024,"the","we","get","they","stop","right","and","down","girls","i","we get","get down","the girls","right there","can't stop","stop won't","won't stop","wow wow","stop chingy","chingy and","we get down","can't stop won't","stop won't stop","won't stop chingy","stop chingy and","chingy and the","and the gunnaz","the gunnaz 'cause","gunnaz 'cause we","'cause we we",147,18,44,134,5,226,5,66,66,0,104,0,7,38.37392795883362,early2000s,top20
