prediction,actual,diff,predSCore,actScore
2003,2009,6,150.01145612930637,0.0
2013,1993,20,126.79700005769249,0.0
1980,1984,4,0.0,0.0
1985,1985,0,53.150849518197795,53.150849518197795
2011,2013,2,10.339850002884624,0.0
2009,2014,5,25.500157725387698,0.0
2009,2013,4,25.500157725387698,0.0
2009,2013,4,25.500157725387698,0.0
2009,2013,4,25.500157725387698,0.0
2009,2014,5,25.500157725387698,0.0
1980,1980,0,0.0,0.0
2015,2015,0,67.96684021509736,67.96684021509736
1999,1999,0,15.627562382434075,15.627562382434075
2000,2000,0,56.14709844115208,56.14709844115208
1996,1996,0,71.35090589819676,71.35090589819676
2001,2004,3,46.66312011331794,0.0
1980,1983,3,0.0,0.0
1980,2001,21,0.0,0.0
1980,2013,33,0.0,0.0
2014,2014,0,101.06477719407377,101.06477719407377
1980,2013,33,0.0,0.0
2002,2002,0,27.133182358075356,27.133182358075356
1980,1982,2,0.0,0.0
1980,1985,5,0.0,0.0
1980,1995,15,0.0,0.0
1992,1987,5,4.584962500721156,0.0
1980,1990,10,0.0,0.0
1980,1991,11,0.0,0.0
1980,1986,6,0.0,0.0
1998,1999,1,26.24609471641037,0.0
2000,2000,0,235.79965444742106,235.79965444742106
1986,1986,0,50.718800023076994,50.718800023076994
1980,1987,7,0.0,0.0
1993,1993,0,51.89147427955945,51.89147427955945
1980,1987,7,0.0,0.0
1987,1987,0,13.931568569324176,13.931568569324176
1980,2010,30,0.0,0.0
1980,1991,11,0.0,0.0
1986,1989,3,5.0,0.0
1980,2011,31,0.0,0.0
1980,1980,0,0.0,0.0
1983,1983,0,46.88268714730222,46.88268714730222
1980,2012,32,0.0,0.0
1980,1994,14,0.0,0.0
1980,1994,14,0.0,0.0
1980,1982,2,0.0,0.0
1984,1984,0,8.999999999999998,8.999999999999998
1980,1983,3,0.0,0.0
1980,1994,14,0.0,0.0
1980,1988,8,0.0,0.0
2003,2003,0,9.965784284662087,9.965784284662087
1980,1984,4,0.0,0.0
2006,2006,0,50.039100017307746,50.039100017307746
1980,1999,19,0.0,0.0
1987,1987,0,13.837726474549191,13.837726474549191
1980,2007,27,0.0,0.0
1989,1989,0,13.837726474549191,13.837726474549191
1985,1982,3,8.0,0.0
2004,2014,10,16.67970000576925,0.0
1998,1999,1,30.0,0.0
1982,2014,32,31.69925001442312,28.517132067779862
1980,2005,25,0.0,0.0
2004,2005,1,233.5158000807694,0.0
1980,2007,27,0.0,0.0
1980,2009,29,0.0,0.0
1980,1996,16,0.0,0.0
1986,1988,2,4.087462841250339,0.0
2003,1984,19,10.715104009236168,0.0
2001,2004,3,9.90839262077375,0.0
1996,1994,2,12.533573081389802,0.0
1980,1999,19,0.0,0.0
1989,1989,0,15.229419688230415,15.229419688230415
2002,2003,1,51.209230337425865,14.422064766172811
1980,2014,34,0.0,0.0
