prediction,actual,diff,predSCore,actScore
1997,2009,12,398703.8503666812,0.0
1997,1993,4,552252.8546719771,0.0
1997,1984,13,290408.13620731194,0.0
1997,1985,12,472344.34489426995,0.0
1997,2013,16,302990.65890553285,0.0
1998,2014,16,664886.0864925354,0.0
1998,2013,15,664886.0864925354,0.0
1998,2013,15,664886.0864925354,0.0
1998,2013,15,664886.0864925354,0.0
1998,2014,16,664886.0864925354,0.0
1997,1980,17,180690.14340342226,0.0
1998,2015,17,500290.3834848035,0.0
1998,1999,1,442732.67044861364,168588.75592673488
1998,2000,2,508297.1860133039,0.0
1997,1996,1,297813.6702307815,0.0
1998,2004,6,229927.48783180234,0.0
1997,1983,14,357448.6605532197,0.0
1980,2001,21,0.0,0.0
1980,2013,33,0.0,0.0
1998,2014,16,366580.5344680356,0.0
1980,2013,33,0.0,0.0
1997,2002,5,723015.6719508066,0.0
1997,1982,15,287748.5800966743,0.0
1998,1985,13,512075.95385626174,0.0
1997,1995,2,634557.9732713442,0.0
1997,1987,10,669126.2541652899,0.0
1998,1990,8,296107.9282783219,0.0
1997,1991,6,39656.62399279431,0.0
1997,1986,11,158247.79049005063,0.0
1998,1999,1,341915.0388064628,77287.06857889549
1997,2000,3,1050119.90408196,0.0
1997,1986,11,320211.8876189776,0.0
1997,1987,10,415882.7801311893,0.0
1997,1993,4,813807.9213166676,0.0
1997,1987,10,319327.72646222863,0.0
1997,1987,10,294355.15135348163,0.0
1997,2010,13,555185.3911437811,0.0
1997,1991,6,381604.2796628938,0.0
1997,1989,8,811852.7541432189,0.0
1997,2011,14,278665.1651908564,0.0
1997,1980,17,232694.82795151867,0.0
1997,1983,14,165459.39275484782,0.0
1997,2012,15,284310.1886728336,0.0
1998,1994,4,289663.57744868245,0.0
1997,1994,3,243489.18400580503,0.0
1998,1982,16,121175.73715031479,0.0
1997,1984,13,353445.53519917734,0.0
1997,1983,14,338601.421983981,0.0
1998,1994,4,199756.41903668363,0.0
1997,1988,9,272348.02586591674,0.0
1998,2003,5,246611.61870084202,0.0
1997,1984,13,761837.263671747,0.0
1997,2006,9,1242832.3352318283,0.0
1998,1999,1,357883.47248953965,27220.036621622236
1997,1987,10,279015.7870650995,0.0
1997,2007,10,345435.2472382496,0.0
1997,1989,8,328875.4612546232,0.0
1998,1982,16,174004.98764222793,0.0
1997,2014,17,351082.93167749676,0.0
1998,1999,1,371324.7739049342,12350.841770797315
1998,2014,16,833829.2734078123,0.0
1998,2005,7,663464.4140684821,0.0
