Song,Actual,TF-IDF,TF-IDF Error,Custom,Custom Err
2 Become 1,1997,1997,0,1980,17
32 Flavors,1998,1998,0,2002,4
5 Miles To Empty,1997,1997,0,1980,17
A Little Past Little Rock,1998,1998,0,2002,4
A Rose Is Still A Rose,1998,1998,0,2006,8
A Song For Mama,1998,1998,0,1980,18
Adia,1998,1998,0,1996,2
All My Life,1998,1998,0,1980,18
All My Love,1998,1998,0,2012,14
All The Places (I Will Kiss You),1998,1998,0,2005,7
All This Time,1991,1991,0,1980,11
Am I Dreaming,1998,1998,0,1995,3
Are U Still Down,1998,1998,0,1997,1
Are You Jimmy Ray?,1998,1998,0,1980,18
Are You That Somebody?,1998,1998,0,1999,1
Ava Adore,1998,1998,0,1980,18
Been Around The World,1998,1998,0,1998,0
Been Around The World,1998,1998,0,1998,0
Been Around The World,1998,1998,0,1998,0
Big Pimpin',2000,2000,0,1996,4
Bizounce,2001,2001,0,2001,0
Black Ice (Sky High),1998,1998,0,2006,8
Black Or White,1991,1991,0,1980,11
Blunt Blowin,2011,2011,0,2006,5
Body Bumpin Yippie-Yi-Yo,1998,1998,0,1998,0
Body Bumpin' Yippie-Yi-Yo,1998,1998,0,1998,0
Body Language,2009,2009,0,2009,0
Boom Boom Pow,2009,2009,0,2009,0
Boom! Shake The Room,1993,1993,0,1993,0
Bop Gun (One Nation),1994,1994,0,1994,0
Bop Gun (One Nation),1994,1994,0,1994,0
Born This Way,2011,2011,0,2014,3
Born To Roll,1994,1994,0,1994,0
Bound 2,2013,2013,0,2004,9
Bow Down,1996,1996,0,1996,0
Break It Off,2007,2007,0,2007,0
Breathe,2004,2004,0,2004,0
Bring The Pain,1994,1994,0,1994,0
Bug A Boo,1999,1999,0,1999,0
Bugatti,2013,2013,0,2013,0
Buy U A Drank (Shawty Snappin'),2007,2007,0,2007,0
By The Way,2002,2002,0,2002,0
Bye Bye,1998,1998,0,1998,0
C'Mon,2013,2013,0,2013,0
Call Me,1997,1997,0,1997,0
Callin' Me,2000,2000,0,2000,0
Can I Have It Like That,2005,2005,0,2006,1
Can U Feel It,1997,1997,0,1980,17
Can't Be Friends,2010,2010,0,2010,0
Can't Deny It,2001,2001,0,2001,0
Can't Get Enough,1998,1998,0,1997,1
Can't Nobody Hold Me Down,1997,1997,0,1997,0
Can't Stop This Thing We Started,1991,1991,0,1980,11
Can't Stop Won't Stop,2003,2003,0,2003,0
Candle In The Wind 1997,1997,1997,0,2012,15
Cantaloop (Flip Fantasia),1994,1994,0,1994,0
Carlene,2000,2000,0,2000,0
Celebrity,2003,2003,0,2003,0
Cell Therapy,1995,1995,0,1995,0
Change Clothes,2003,2003,0,2003,0
Chante's Got A Man,1999,1999,0,1999,0
Check It Out,2010,2010,0,2010,0
Check It Out,2010,2010,0,2010,0
Cheers (Drink To That),2011,2011,0,2011,0
Cheers 2 U,1998,1998,0,1980,18
Chicken Noodle Soup,2006,2006,0,2006,0
Chinese Democracy,2008,2008,0,2008,0
Chinese Food,2013,2013,0,2003,10
Chopped 'N' Skrewed,2008,2008,0,2008,0
Clap Back,2003,2003,0,2003,0
Cleanin' Out My Closet,2002,2002,0,2002,0
Cleopatra's Theme,1998,1998,0,1998,0
Clock Strikes,1998,1998,0,1998,0
Clubbin,2003,2003,0,2003,0
Coco Jamboo,1997,1997,0,1997,0
Colors Of The Wind,1995,1995,0,1995,0
Colors Of The Wind,1995,1995,0,1995,0
Come And Get With Me,1998,1998,0,1998,0
Could It Be,2001,2001,0,2000,1
Crack A Bottle,2009,2009,0,2009,0
Crank That (Soulja Boy),2007,2007,0,2007,0
Cruel Summer,1998,1998,0,1980,18
Culo,2004,2004,0,2004,0
Cumbersome,1996,1996,0,1996,0
Cut Her Off,2014,2014,0,2002,12
D.O.A. (Death Of Auto-Tune),2009,2009,0,2009,0
Damn!,2003,2003,0,2003,0
Danger,1995,1995,0,1995,0
Dangerous,1998,1998,0,1998,0
Daydreamin',1998,1998,0,1998,0
Deeper Shade Of Soul,1991,1991,0,1991,0
Deja Vu (Uptown Baby),1998,1998,0,1998,0
Deja Vu (Uptown Baby),1998,1998,0,1998,0
Destiny,1998,1998,0,2013,15
Did You Ever Think,1999,1999,0,1999,0
Die Another Day,2002,2002,0,2002,0
Dirt Off Your Shoulder,2004,2004,0,2004,0
Discotheque,1997,1997,0,2011,14
Ditty,1993,1993,0,1993,0
Do For Love,1998,1998,0,1998,0
Do It Just Like A Rockstar,2007,2007,0,2007,0
Do You Know (What It Takes),1997,1997,0,1980,17
Do You Like This,1997,1997,0,1980,17
Do You Wanna Get Funky,1994,1994,0,1994,0
Do Your Thing,1998,1998,0,1980,18
Don't Cha,2005,2005,0,2005,0
Don't Cry,1996,1996,0,1996,0
Don't Drop That Thun Thun!,2013,2013,0,2013,0
Don't Lie,2005,2005,0,2005,0
Don't Mess With My Man,2002,2002,0,2002,0
Don't Wanna Be A Player,1997,1997,0,1997,0
Don't Wanna Try,2003,2003,0,2003,0
Doo Wop (That Thing),1998,1998,0,1998,0
Down 4 U,2002,2002,0,2002,0
Downtown,2015,2015,0,2015,0
Downtown Train,1990,1990,0,1980,10
Drive,1992,1992,0,1992,0
Drop It Like It's Hot,2004,2004,0,2004,0
Drop It Low,2009,2009,0,2009,0
Drops Of Jupiter (Tell Me),2001,2001,0,2001,0
Drunk In Love,2014,2014,0,2014,0
Drunk In Love,2014,2014,0,2014,0
E-Bow The Letter,1996,1996,0,2007,11
E.T.,2010,2010,0,2010,0
ESPN Presents The Jock Jam,1997,1997,0,1997,0
EW!,2014,2014,0,2014,0
Elevator,2008,2008,0,2008,0
Elevators (Me & You),1996,1996,0,1996,0
Energy,2015,2015,0,2015,0
Errtime,2005,2005,0,2005,0
Every Girl,2009,2009,0,2009,0
Everybody's Free (To Wear Sunscreen),1999,1999,0,1999,0
Everyday Is A Winding Road,1997,1997,0,1997,0
Everything,1997,1997,0,1989,8
Everything Is Everything,1999,1999,0,1999,0
Everything's Gonna Be Alright,1998,1998,0,1998,0
Excuse Me Miss,2003,2003,0,2003,0
Faded,2012,2012,0,2012,0
Faded Pictures,1999,1999,0,1999,0
Falling In Love (Is Hard On The Knees),1997,1997,0,1997,0
Fantastic Voyage,1994,1994,0,1994,0
Fast Lane,2011,2011,0,2011,0
Father,1998,1998,0,1998,0
Feel Good Inc,2005,2005,0,2005,0
Feel Me Flow,1995,1995,0,1995,0
Feeling Myself,2015,2015,0,2015,0
Fiesta,2001,2001,0,2001,0
Firestarter,1997,1997,0,1997,0
Flava In Ya Ear,1994,1994,0,1994,0
Flowers On The Wall,2000,2000,0,2009,9
Fly,2011,2011,0,2011,0
Foe Tha Love Of $,1995,1995,0,1995,0
For You I Will,1999,1999,0,2001,2
For You I Will,1997,1997,0,1980,17
Forever,2009,2009,0,2009,0
Forever And For Always,2003,2003,0,2003,0
Forgot About Dre,2000,2000,0,2000,0
Freakit,1993,1993,0,1993,0
Freedom,1995,1995,0,1995,0
Freek-A-Leek,2004,2004,0,2004,0
Fresh Azimiz,2006,2006,0,2006,0
Friday,2011,2011,0,2009,2
Friend Of Mine,1998,1998,0,1980,18
From This Moment On,1998,1998,0,1980,18
Frontin',2003,2003,0,2003,0
Frozen,1998,1998,0,1998,0
Fu-Gee-La,1996,1996,0,1996,0
Funky Y-2-C,1994,1994,0,1994,0
G'D Up,2000,2000,0,2000,0
G.D.F.R.,2015,2015,0,2015,0
Gangnam Style,2012,2012,0,2012,0
Gangnam Style,2012,2012,0,2012,0
Gangsta Lean,1993,1993,0,1993,0
Gangsta Lovin',2002,2002,0,2002,0
Gangsta Nation,2004,2004,0,2004,0
Gangstas Make The World Go Round,1997,1997,0,1997,0
Gas Pedal,2013,2013,0,2013,0
Gasolina,2005,2005,0,2005,0
Gentleman,2013,2013,0,2013,0
Get At Me Dog,1998,1998,0,1998,0
Get Buck In Here,2007,2007,0,2007,0
Get Busy,2003,2003,0,2003,0
Get Down,1995,1995,0,1995,0
Get Here,1991,1991,0,1991,0
Get It Poppin',2005,2005,0,2005,0
Get Low,2003,2003,0,2003,0
Get Silly,2008,2008,0,2008,0
Get Ur Freak On,2001,2001,0,2001,0
Gettin' Jiggy Wit It,1998,1998,0,1998,0
Getto Man,1993,1993,0,1993,0
Ghetto Cowboy,1998,1998,0,1998,0
Ghetto Love,1997,1997,0,1997,0
Ghetto Supastar (That Is What You Are),1998,1998,0,1998,0
Ghetto Supastar (That Is What You Are),1998,1998,0,1998,0
Ghetto Supastar (That Is What You Are),1998,1998,0,1998,0
Ghetto Supastar (That Is What You Are),1998,1998,0,1998,0
Ghetto Supastar (That Is What You Are),1998,1998,0,1998,0
Gimme Some Love,1997,1997,0,1997,0
Gimme The Light,2002,2002,0,2002,0
Girlfriend,2003,2003,0,2003,0
Girls Girls Girls,2001,2001,0,2001,0
Gitty Up,1998,1998,0,2001,3
Give It To Me,2007,2007,0,2007,0
Give Me Just One Night (Una Noche),2000,2000,0,2000,0
Given To Fly,1998,1998,0,1998,0
Glaciers Of Ice/Criminology,1995,1995,0,1995,0
Glaciers Of Ice/Criminology,1995,1995,0,1995,0
Go D.J.,2004,2004,0,2004,0
Gold Digger,2005,2005,0,2005,0
Gone,2013,2013,0,2012,1
Gone Till November,1998,1998,0,1998,0
Gonorrhea,2010,2010,0,2008,2
Good Morning,2009,2009,0,2009,0
Good Stuff,1992,1992,0,1992,0
Good Times,2002,2002,0,2002,0
Goodbye,1998,1998,0,1980,18
Goodbye Earl,2000,2000,0,2000,0
Goodbye To My Homies,1998,1998,0,1998,0
Goodbye To My Homies,1998,1998,0,1998,0
Goodies,2004,2004,0,2004,0
Gossip Folks,2003,2003,0,1981,22
Got To Get,1990,1990,0,1990,0
Got To Get it,1999,1999,0,2010,11
Got Your Money,1999,1999,0,1999,0
Gotham City,1997,1997,0,1997,0
Gotta Be,1998,1998,0,1980,18
Gotta Man,1999,1999,0,1999,0
Grindin',2002,2002,0,2002,0
Guts Over Fear,2014,2014,0,1995,19
H*A*M,2011,2011,0,2011,0
Handlebars,2008,2008,0,2008,0
Hands Clean,2002,2002,0,2002,0
Hangover,2014,2014,0,2003,11
Happily Ever After,1999,1999,0,1999,0
Harlem Shake,2013,2013,0,2013,0
Having A Party,1994,1994,0,1994,0
Hay,1996,1996,0,1996,0
He Loves U Not,2000,2000,0,2000,0
Head Over Heels,1997,1997,0,1997,0
Heartbreaker,1999,1999,0,1999,0
Heaven,1998,1998,0,1980,18
Heaven's What I Feel,1998,1998,0,1990,8
Hell Breaks Loose,2010,2010,0,2002,8
Hell Yeah,2003,2003,0,2003,0
Hello Good Morning,2010,2010,0,2010,0
Hello Goodbye,2010,2010,0,1980,30
Here,2015,2015,0,2015,0
Here (In Your Arms),2007,2007,0,2007,0
Here I Am,2008,2008,0,2008,0
Here's To Never Growing Up,2013,2013,0,2013,0
Here's Your Sign (Get The Picture),1997,1997,0,1997,0
Hey Leonardo (She Likes Me For Me),1999,1999,0,1999,0
Hey Lover,1995,1995,0,1995,0
Hey Ma,2002,2002,0,2002,0
Hey Mama,2004,2004,0,2004,0
Hey Now Now,1998,1998,0,1980,18
Hey Ya!,2003,2003,0,2003,0
Hillbilly Bone,2010,2010,0,2010,0
Hip Hop Hooray,1993,1993,0,1993,0
Hoedown Throwdown,2009,2009,0,2009,0
Holidae In,2003,2003,0,2003,0
Holiday,2005,2005,0,2005,0
Holla Holla,1999,1999,0,1999,0
Home,2012,2012,0,2012,0
Home To You,1999,1999,0,1999,0
Hood Figga,2007,2007,0,2007,0
Horse & Carriage,1998,1998,0,1998,0
Horse & Carriage,1998,1998,0,1998,0
Hot Boy,2014,2014,0,2014,0
Hot Tottie,2010,2010,0,2010,0
Housecall,1991,1991,0,1991,0
How 'Bout Them Cowgirls,2007,2007,0,2005,2
How Deep Is Your Love,1998,1998,0,1998,0
How Deep is Your Love,1998,1998,0,1998,0
How High,1995,1995,0,1995,0
Hush,2004,2004,0,2004,0
Hypnotize,1997,1997,0,1997,0
I Adore Mi Amor,1991,1991,0,1991,0
I Believe In You And Me,1997,1997,0,1980,17
I Can,2003,2003,0,2003,0
I Can Do That,1998,1998,0,2004,6
I Can Love You,1997,1997,0,1997,0
I Can't Wait,2004,2004,0,2004,0
I Do!!,2001,2001,0,2001,0
I Don't Ever want To See You Again,1997,1997,0,1997,0
I Don't Want To Miss A Thing,1998,1998,0,1980,18
I Don't Want To Wait,1998,1998,0,1997,1
I Get Lonely,1998,1998,0,1998,0
I Get Lonely,1998,1998,0,1998,0
I Get Money,2007,2007,0,2007,0
I Got 5 On It,1995,1995,0,1995,0
I Got A Man,1993,1993,0,1993,0
I Got It From My Mama,2007,2007,0,2007,0
I Got The Hook Up!,1998,1998,0,1998,0
I Got The Hook Up!,1998,1998,0,1998,0
I Gotta Feeling,2009,2009,0,2009,0
I Had No Right,1998,1998,0,1982,16
I Just Wanna Love U (Give It 2 Me),2000,2000,0,2000,0
I Know Where It's At,1998,1998,0,2012,14
I Know You Want Me (Calle Ocho),2009,2009,0,2009,0
I Like It,2000,2000,0,2000,0
I Like It,1997,1997,0,1997,0
I Like That,2004,2004,0,2004,0
I Love This Bar,2003,2003,0,2003,0
I Love You,1999,1999,0,1999,0
I Love You Always Forever,1996,1996,0,1996,0
I Made It (Cash Money Heroes),2010,2010,0,2010,0
I Miss My Homies,1997,1997,0,1997,0
I Miss My Homies,1997,1997,0,1997,0
I Shot The Sheriff,1997,1997,0,1997,0
I Still Love You,1998,1998,0,1980,18
I Think They Like Me,2005,2005,0,2005,0
I Wanna Be There,1997,1997,0,1980,17
I Wanna Go,2011,2011,0,2011,0
I Wanna Love You,2006,2006,0,2006,0
I Wanna Rock,2010,2010,0,2010,0
I Wanna Talk About Me,2001,2001,0,2001,0
I Want It All,1999,1999,0,1999,0
I Want You,1997,1997,0,1997,0
I Want You,2003,2003,0,2003,0
I Want You Back,1998,1998,0,1980,18
I Will?But,2000,2000,0,2000,0
I Wish,1995,1995,0,1995,0
I Write Sins Not Tragedies,2006,2006,0,2006,0
I'll Be,1998,1998,0,1998,0
I'll Be,1997,1997,0,1997,0
I'll Never Break Your Heart,1998,1998,0,1980,18
I'll Think Of A Reason Later,1999,1999,0,1999,0
I'm A Thug,2001,2001,0,2001,0
I'm Already Taken,1999,1999,0,1999,0
I'm Alright,1998,1998,0,2008,10
I'm Awesome,2010,2010,0,2010,0
I'm Going In,2009,2009,0,2009,0
I'm Gonna Be (500 Miles),1993,1993,0,1993,0
I'm Gonna Get You,1993,1993,0,1993,0
I'm Gonna Get You,1993,1993,0,1993,0
I'm Out,2013,2013,0,2013,0
I'm Still A Guy,2008,2008,0,2008,0
I'm Your Angel,1998,1998,0,1980,18
Ice Cream,1995,1995,0,1995,0
Ice Cream Paint Job,2009,2009,0,2009,0
Iesha,1991,1991,0,1991,0
If I Could Teach The World,1997,1997,0,1997,0
If You (Lovin' Me),1999,1999,0,1999,0
If You Think I'm Jiggy,1998,1998,0,1998,0
Imagination,1998,1998,0,1998,0
In A Real Love,2004,2004,0,2004,0
In My Head,2010,2010,0,2010,0
In My Life,2004,2004,0,2004,0
In The House Of Stone And Light,1995,1995,0,1995,0
Independent Women,2000,2000,0,2000,0
Indian Outlaw,1994,1994,0,1994,0
Insane In The Brain,1993,1993,0,1993,0
Inside Out,1998,1998,0,1998,0
Intergalactic,1998,1998,0,1998,0
Iris,1998,1998,0,1980,18
It Ain't My Fault 1 & 2,1999,1999,0,1999,0
It Must Be Love,1998,1998,0,2002,4
It Won't Stop,2013,2013,0,2013,0
It's All About Me,1998,1998,0,1998,0
It's All About Me,1998,1998,0,1998,0
It's All Been Done,1999,1999,0,1999,0
It's Not Right But It's Okay,1999,1999,0,1999,0
Izzo (H.O.V.A.),2001,2001,0,2001,0
Jai Ho! (You Are My Destiny),2009,2009,0,2009,0
Jamboree,1999,1999,0,1999,0
Jealousy,1996,1996,0,1996,0
Jesus Walks,2004,2004,0,2004,0
Jigga My N****,1999,1999,0,1999,0
John Cougar John Deere John 3:16,2015,2015,0,2015,0
Judas,2011,2011,0,2011,0
Jumpman,2015,2015,0,2015,0
Just A Girl,1996,1996,0,1996,0
Just Another Day,1997,1997,0,2003,6
Just Between You And Me,1996,1996,0,1996,0
Just Can't Get Enough,2011,2011,0,2011,0
Just Can't Get Enough,2011,2011,0,2011,0
Just Lose It,2004,2004,0,2004,0
Just Stand Up!,2008,2008,0,2011,3
Just The Two Of Us,1998,1998,0,1998,0
Keep Their Heads Ringin',1995,1995,0,1995,0
Key West Intermezzo (I Saw You First),1996,1996,0,1996,0
Kick The Dust Up,2015,2015,0,2015,0
Killa,2008,2008,0,2008,0
King Without A Crown,2006,2006,0,2006,0
Kiss Kiss,2007,2007,0,2007,0
Kiss The Rain,1998,1998,0,1980,18
Kiss Them For Me,1991,1991,0,1991,0
Kiss This,2000,2000,0,2000,0
