Song,Actual,TF-IDF,TF-IDF Error,Custom,Custom Err, ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
3,2009,1998,11,1980,29, ,0,0,0,0,0,0,0,0,0,0,0,0,6.660717407,0,0,13.21449685,18.68243865,15.92174275,49.47912742,24.25604768,35.2654931,20.95026203,13.59418154,9.660513637,0,6.21959564,0,0,0,0,0,0,0,0,0,0
22,2013,1998,15,2010,3, ,0,0,0,0,0,0,0,0,4.951734186,0,0,0,0,0,4.337220459,5.883243913,39.61910645,44.34893181,55.43593495,43.28280348,10.71518939,3.841405438,13.38841563,6.9117473,8.779594479,0,0,0,0,0,16.6152792,0,0,0,0,0
23,2014,1998,16,1993,21, ,0,0,0,0,0,0,0,0,7.758475847,0,0,0,0,12.71021003,14.13165354,5.306285536,8.64788035,37.33497012,71.01092907,68.94504604,59.62430811,48.19288634,32.73240041,39.40964501,31.05032117,34.54821069,27.82152828,11.30352735,21.07991066,0,8.856803357,7.065755682,0,8.163798576,0,0
23,2013,1998,15,1993,20, ,0,0,0,0,0,0,0,0,7.758475847,0,0,0,0,12.71021003,14.13165354,5.306285536,8.64788035,37.33497012,71.01092907,68.94504604,59.62430811,48.19288634,32.73240041,39.40964501,31.05032117,34.54821069,27.82152828,11.30352735,21.07991066,0,8.856803357,7.065755682,0,8.163798576,0,0
23,2013,1998,15,1993,20, ,0,0,0,0,0,0,0,0,7.758475847,0,0,0,0,12.71021003,14.13165354,5.306285536,8.64788035,37.33497012,71.01092907,68.94504604,59.62430811,48.19288634,32.73240041,39.40964501,31.05032117,34.54821069,27.82152828,11.30352735,21.07991066,0,8.856803357,7.065755682,0,8.163798576,0,0
23,2013,1998,15,1993,20, ,0,0,0,0,0,0,0,0,7.758475847,0,0,0,0,12.71021003,14.13165354,5.306285536,8.64788035,37.33497012,71.01092907,68.94504604,59.62430811,48.19288634,32.73240041,39.40964501,31.05032117,34.54821069,27.82152828,11.30352735,21.07991066,0,8.856803357,7.065755682,0,8.163798576,0,0
23,2014,1998,16,1993,21, ,0,0,0,0,0,0,0,0,7.758475847,0,0,0,0,12.71021003,14.13165354,5.306285536,8.64788035,37.33497012,71.01092907,68.94504604,59.62430811,48.19288634,32.73240041,39.40964501,31.05032117,34.54821069,27.82152828,11.30352735,21.07991066,0,8.856803357,7.065755682,0,8.163798576,0,0
679,2015,1998,17,2015,0, ,0,0,0,0,0,0,0,0,0,0,0,0,8.856803357,3.72208632,0,8.163798576,13.50903066,56.24938599,115.4866291,61.77725839,57.58658605,37.90986593,43.0637633,51.64360645,26.99699937,25.89853166,21.92664479,0,9.380982645,0,23.86321412,8.856803357,7.24793492,0,8.163798576,8.163798576
808,1999,1998,1,1991,8, ,0,0,0,0,0,0,0,0,0,0,0,8.163798576,6.9117473,0,0,7.162125535,25.20800572,60.30064772,70.09928272,54.12996692,69.48039772,40.86247713,18.99902871,31.93556081,12.0871886,4.145239547,8.163798576,0,8.163798576,0,0,0,0,0,0,0
911,2000,1998,2,2002,2, ,0,0,0,0,0,0,0,0,0,0,0,11.32669799,0,0,0,11.77744953,20.52993587,46.6858851,101.9675753,88.37383664,41.61040793,27.29645074,39.93003028,4.380621153,6.460331167,0,0,0,0,0,0,0,0,0,0,0
