Word,1st Year,Nth Year, Avg Year,Frequency,Standard Dev.
,1983,2014,2003,283,10.755391449393276
holding,1982,2009,1990,43,4.617962905367348
champions,2014,2014,2014,1,0.0
jef,1993,1994,1993,11,0.5222329678670935
fuck,1995,2014,2007,119,7.160817755282546
finisher,2011,2011,2011,21,0.0
florida,2012,2012,2012,8,0.0
gasoline,1989,1989,1989,14,0.0
told,1983,2014,2000,75,11.169601604354561
answer,1990,2000,1995,86,3.661553870173979
dawg,2014,2014,2014,10,0.0
flaunt,2004,2005,2004,38,0.8885233166386386
meet,1982,1994,1983,26,3.787631693572363
spliff,1995,1995,1995,11,0.0
toll,2009,2009,2009,16,0.0
3,1984,2014,2000,109,8.466880972028331
2,1992,2014,2003,177,7.0060506537358025
1,1984,2014,2001,161,6.5909782118301585
0,2014,2014,2014,10,0.0
dawn,2006,2006,2006,18,0.0
7,1992,2000,1994,29,3.0114723171965867
6,1986,2014,2003,70,9.215669884960693
5,1989,2012,2000,122,7.049008766497878
4,1986,2014,2001,108,6.735753140545635
somebody,1994,2012,2003,123,4.990234365677653
9,1989,2014,2000,27,11.864981153705124
8,1992,2000,1994,29,3.0114723171965867
steady,2011,2011,2011,21,0.0
mugs,2000,2000,2000,29,0.0
rev,2006,2006,2006,18,0.0
horny,1999,2012,2006,42,4.386125310350268
truck,2012,2012,2012,8,0.0
micchecka,1993,1994,1993,11,0.5222329678670935
sweetheart,2007,2007,2007,3,0.0
times,1988,2011,2001,106,8.525212330670648
grew,2002,2003,2002,17,0.9074852129730301
grey,2007,2007,2007,17,0.0
whack,1993,1994,1993,11,0.5222329678670935
oversized,2012,2012,2012,14,0.0
fruity,2010,2010,2010,9,0.0
hangin,2000,2000,2000,29,0.0
f,1991,2011,2003,41,9.052691285589889
g,2012,2012,2012,8,0.0
heck,1993,1994,1993,11,0.5222329678670935
tone,1984,1984,1984,5,0.0
myrtle,2014,2014,2014,1,0.0
eightfoot,2011,2011,2011,21,0.0
b,2002,2003,2002,28,0.823754471047914
confused,2009,2013,2012,17,1.1881770515720091
a,1980,2014,1998,862,9.516928378109206
fruits,2011,2011,2011,21,0.0
erupt,2006,2006,2006,18,0.0
n,1982,1996,1987,23,6.849309708157521
consultant,2011,2011,2011,21,0.0
suffer,1996,1996,1996,9,0.0
o,2003,2012,2009,22,3.7233904393222534
nothings,2009,2009,2009,16,0.0
l,1991,1991,1991,14,0.0
cutting,2009,2009,2009,1,0.0
k,1991,1991,1991,14,0.0
taking,1994,1998,1994,46,1.4218787326754636
h,2014,2014,2014,1,0.0
beginner,1991,1992,1991,18,0.816496580927726
i,1980,2014,1998,968,9.44869792944951
labor,2011,2011,2011,21,0.0
licensing,1991,1991,1991,18,0.0
t,1995,1995,1995,11,0.0
red,1984,1984,1984,5,0.0
days,1980,2014,2000,125,11.127263814613187
yawning,2011,2012,2011,16,0.5590169943749475
peoples,2014,2014,2014,10,0.0
q,2014,2014,2014,18,0.0
smiley,2013,2014,2013,22,0.674199862463242
legend,1993,1994,1993,11,0.5222329678670935
p,2014,2014,2014,10,0.0
50s,1995,1995,1995,11,0.0
advice,1983,1983,1983,15,0.0
zone,2012,2012,2012,8,0.0
x,1984,1984,1984,5,0.0
loveyoure,1989,1989,1989,11,0.0
drop,1993,2005,2000,69,4.960715235948735
took,1980,2014,1994,75,11.7285975291166
enticin,2006,2006,2006,18,0.0
pretended,2011,2012,2011,16,0.5590169943749475
basic,1991,1991,1991,14,0.0
priority,1989,1989,1989,11,0.0
jam,2012,2014,2013,30,0.7745966692414834
guilt,1985,1985,1985,10,0.0
automatic,2004,2005,2004,38,0.8885233166386386
belongs,1997,1998,1997,20,0.5477225575051661
barbed,1984,1985,1984,8,0.3535533905932738
resist,1985,1985,1985,8,0.0
double,1993,2011,1999,41,6.178246653162779
much,1983,2014,1994,109,7.305270185083111
jaw,2011,2011,2011,21,0.0
country,2000,2000,2000,29,0.0
trues,1995,1995,1995,11,0.0
speech,2011,2011,2011,21,0.0
involved,2014,2014,2014,10,0.0
heartbeat,1989,1989,1989,14,0.0
toot,1982,2014,2010,20,9.633275663033837
shizzle,2004,2005,2004,38,0.8885233166386386
raw,2000,2000,2000,29,0.0
grab,2004,2009,2005,55,1.747725795010606
horse,2007,2007,2007,3,0.0
rap,2003,2003,2003,22,0.0
disturb,2011,2011,2011,21,0.0
business,2000,2000,2000,29,0.0
hillside,2000,2000,2000,29,0.0
lanolin,2009,2009,2009,1,0.0
ouisiana,2000,2000,2000,29,0.0
burgers,2003,2003,2003,22,0.0
dumdum,1982,1982,1982,14,0.0
hella,2012,2012,2012,8,0.0
