@relation lyrics383.small

@attribute song string
@attribute numWords numeric
@attribute distinctWRatio numeric
@attribute word_1 string
@attribute word_2 string
@attribute word_3 string
@attribute word_4 string
@attribute word_5 string
@attribute word_6 string
@attribute word_7 string
@attribute word_8 string
@attribute word_9 string
@attribute word_10 string
@attribute phrase2_1 string
@attribute phrase2_2 string
@attribute phrase2_3 string
@attribute phrase2_4 string
@attribute phrase2_5 string
@attribute phrase2_6 string
@attribute phrase2_7 string
@attribute phrase2_8 string
@attribute phrase2_9 string
@attribute phrase2_10 string
@attribute phrase3_1 string
@attribute phrase3_2 string
@attribute phrase3_3 string
@attribute phrase3_4 string
@attribute phrase3_5 string
@attribute phrase3_6 string
@attribute phrase3_7 string
@attribute phrase3_8 string
@attribute phrase3_9 string
@attribute phrase3_10 string
@attribute pos_verb numeric
@attribute pos_conj numeric
@attribute pos_adj numeric
@attribute pos_pronoun numeric
@attribute pos_number numeric
@attribute pos_noun numeric
@attribute pos_to numeric
@attribute pos_prep numeric
@attribute pos_adv numeric
@attribute pos_interj numeric
@attribute pos_other numeric
@attribute pos_foreign numeric
@attribute pos_wh numeric
@attribute narcScore numeric
@attribute period {early1980s,mid1980s,late1980s,early1990s,mid1990s,late1990s,early2000s,mid2000s,late2000s,early2010s,mid2010s}
@attribute rank {top10,top20,top30,top40,top50,notTop}

@data
"3",355.0,0.2535211267605634,"and","you","1","2","3","countin","the","me","in","not","1 2","2 3","countin 1","you and","and me","3 not","not only","only you","me got","got one","1 2 3","countin 1 2","you and me","2 3 not","3 not only","not only you","only you and","and me got","me got one","got one eighty",51,27,15,32,57,89,1,35,32,0,13,0,3,3.75,late2000s,top10
"7",443.0,0.3002257336343115,"and","will","the","all","in","of","them","we","7","a","in the","all 7","watch them","them fall","we will","and we","and a","of love","7 and","and we'll","watch them fall","and we will","all 7 and","7 and we'll","and we'll watch","we'll watch them","them fall they","fall they stand","they stand in","stand in the",64,39,25,53,23,72,0,48,34,0,81,0,4,-5.132075471698113,early1990s,top10
"17",337.0,0.27596439169139464,"seventeen","and","she","sexy","was","years","old","i","a","only","she was","seventeen years","years old","sexy seventeen","was only","only seventeen","seventeen seventeen","seventeen and","old sexy","sexy sexy","seventeen years old","she was only","was only seventeen","only seventeen seventeen","sexy seventeen years","old sexy sexy","sexy sexy seventeen","years old sexy","years old seventeen","sexy she was",60,25,49,49,24,49,4,15,30,3,27,0,2,1.1428571428571428,mid1980s,top40
"19",466.0,0.44206008583690987,"of","19","the","war","to","vietnam","was","none","them","it","19 19","of them","none of","of the","ni-ni-ni 19","them received","received a","the vietnam","them none","to do","none of them","19 19 19","them none of","of them received","them received a","of them none","world war ii","welcome none of","received a hero's","a hero's welcome",84,9,34,32,35,136,13,54,20,0,38,0,11,-12.25,mid1980s,top20
"22",300.0,0.33,"like","uh","you","","of","it","the","we","feels","one","uh uh","it feels","feels like","like one","one of","of those","those nights","nights we","it","i gotta","it feels like","like one of","one of those","of those nights","uh uh uh","feels like one","those nights we","i gotta have","gotta have you","nights we ditch",55,8,25,40,14,55,4,42,8,18,29,0,2,-5.025,early2010s,top20
"23",509.0,0.3379174852652259,"on","my","the","i","feet","","up","with","j’s","like","on my","my feet","j’s on","in the","feet j’s","my j's","with my","turn up","on the","the club","j’s on my","on my feet","my feet j’s","feet j’s on","in the club","i'm in","i'm in the","the club high","club high on","high on purp",59,4,21,63,5,165,6,97,23,0,64,0,2,20.825396825396826,mid2010s,top50
"23",509.0,0.3379174852652259,"on","my","the","i","feet","","up","with","j’s","like","on my","my feet","j’s on","in the","feet j’s","my j's","with my","turn up","on the","the club","j’s on my","on my feet","my feet j’s","feet j’s on","in the club","like me","i'm in","i'm in the","the club high","club high on",59,4,21,63,5,165,6,97,23,0,64,0,2,20.825396825396826,early2010s,top20
"23",509.0,0.3379174852652259,"on","my","the","i","feet","","up","with","j’s","like","on my","my feet","j’s on","in the","feet j’s","my j's","with my","turn up","on the","the club","j’s on my","on my feet","my feet j’s","feet j’s on","in the club","like me","i'm in","i'm in the","the club high","club high on",59,4,21,63,5,165,6,97,23,0,64,0,2,20.825396825396826,early2010s,top20
"23",509.0,0.3379174852652259,"on","my","the","i","feet","","up","with","j’s","like","on my","my feet","j’s on","in the","feet j’s","my j's","with my","turn up","on the","the club","j’s on my","on my feet","my feet j’s","feet j’s on","in the club","like me","i'm in","i'm in the","the club high","club high on",59,4,21,63,5,165,6,97,23,0,64,0,2,20.825396825396826,early2010s,top20
"23",509.0,0.3379174852652259,"on","my","the","i","feet","","up","with","j’s","like","on my","my feet","j’s on","in the","feet j’s","my j's","with my","turn up","on the","the club","j’s on my","on my feet","my feet j’s","feet j’s on","in the club","like me","i'm in","i'm in the","the club high","club high on",59,4,21,63,5,165,6,97,23,0,64,0,2,20.825396825396826,mid2010s,top20
